partito,layer,id,macrotema,quota
Azione / Calenda,Stampa,7,Sanità,1.85
Azione / Calenda,Stampa,8,Istruzione e ricerca,5.29
Azione / Calenda,Stampa,9,Ambiente ed energia,2.65
Azione / Calenda,Stampa,10,Immigrazione e cittadinanza,1.06
Azione / Calenda,Stampa,11,Sicurezza e criminalità,2.12
Azione / Calenda,Stampa,12,Diritti civili e società,2.91
Azione / Calenda,Stampa,13,Infrastrutture e territorio,1.59
Azione / Calenda,Stampa,14,Cultura e patrimonio,9.26
Azione / Calenda,Stampa,15,Sport,1.06
Italia Viva / Renzi,Progetti di legge,1,Politica estera e difesa,2.44
Italia Viva / Renzi,Progetti di legge,2,Unione europea,4.88
Italia Viva / Renzi,Progetti di legge,3,Istituzioni e assetto dello Stato,12.2
Italia Viva / Renzi,Progetti di legge,4,Economia e finanza pubblica,21.95
Italia Viva / Renzi,Progetti di legge,5,Lavoro e imprese,14.63
Italia Viva / Renzi,Progetti di legge,6,Welfare e pensioni,1.22
Italia Viva / Renzi,Progetti di legge,7,Sanità,10.98
Italia Viva / Renzi,Progetti di legge,8,Istruzione e ricerca,4.88
Italia Viva / Renzi,Progetti di legge,9,Ambiente ed energia,3.66
Italia Viva / Renzi,Progetti di legge,10,Immigrazione e cittadinanza,1.22
Italia Viva / Renzi,Progetti di legge,11,Sicurezza e criminalità,6.1
Italia Viva / Renzi,Progetti di legge,12,Diritti civili e società,7.32
Italia Viva / Renzi,Progetti di legge,13,Infrastrutture e territorio,7.32
Italia Viva / Renzi,Progetti di legge,14,Cultura e patrimonio,1.22
Italia Viva / Renzi,Progetti di legge,15,Sport,0.0
Italia Viva / Renzi,Stampa,1,Politica estera e difesa,19.14
Italia Viva / Renzi,Stampa,2,Unione europea,2.64
Italia Viva / Renzi,Stampa,3,Istituzioni e assetto dello Stato,23.32
Italia Viva / Renzi,Stampa,4,Economia e finanza pubblica,6.82
Italia Viva / Renzi,Stampa,5,Lavoro e imprese,9.57
Italia Viva / Renzi,Stampa,6,Welfare e pensioni,0.99
Italia Viva / Renzi,Stampa,7,Sanità,5.28
Italia Viva / Renzi,Stampa,8,Istruzione e ricerca,2.64
Italia Viva / Renzi,Stampa,9,Ambiente ed energia,3.96
Italia Viva / Renzi,Stampa,10,Immigrazione e cittadinanza,1.65
Italia Viva / Renzi,Stampa,11,Sicurezza e criminalità,3.52
Italia Viva / Renzi,Stampa,12,Diritti civili e società,4.95
Italia Viva / Renzi,Stampa,13,Infrastrutture e territorio,4.84
Italia Viva / Renzi,Stampa,14,Cultura e patrimonio,6.6
Italia Viva / Renzi,Stampa,15,Sport,4.07
+Europa,Programmi,1,Politica estera e difesa,8.52
+Europa,Programmi,2,Unione europea,6.21
+Europa,Programmi,3,Istituzioni e assetto dello Stato,6.97
+Europa,Programmi,4,Economia e finanza pubblica,12.4
+Europa,Programmi,5,Lavoro e imprese,20.16
+Europa,Programmi,6,Welfare e pensioni,3.88
+Europa,Programmi,7,Sanità,11.63
+Europa,Programmi,8,Istruzione e ricerca,8.52
+Europa,Programmi,9,Ambiente ed energia,8.52
+Europa,Programmi,10,Immigrazione e cittadinanza,1.55
+Europa,Programmi,11,Sicurezza e criminalità,1.55
+Europa,Programmi,12,Diritti civili e società,6.21
+Europa,Programmi,13,Infrastrutture e territorio,3.1
+Europa,Programmi,14,Cultura e patrimonio,0.78
+Europa,Programmi,15,Sport,0.0
+Europa,Stampa,1,Politica estera e difesa,28.24
+Europa,Stampa,2,Unione europea,10.59
+Europa,Stampa,3,Istituzioni e assetto dello Stato,32.94
+Europa,Stampa,4,Economia e finanza pubblica,2.35
+Europa,Stampa,5,Lavoro e imprese,3.53
+Europa,Stampa,6,Welfare e pensioni,0.0
+Europa,Stampa,7,Sanità,0.0
+Europa,Stampa,8,Istruzione e ricerca,0.0
+Europa,Stampa,9,Ambiente ed energia,2.35
+Europa,Stampa,10,Immigrazione e cittadinanza,4.71
+Europa,Stampa,11,Sicurezza e criminalità,4.71
+Europa,Stampa,12,Diritti civili e società,3.53
+Europa,Stampa,13,Infrastrutture e territorio,2.35
+Europa,Stampa,14,Cultura e patrimonio,4.71
+Europa,Stampa,15,Sport,0.0
Futuro Nazionale / Vannacci,Stampa,1,Politica estera e difesa,22.14
Futuro Nazionale / Vannacci,Stampa,2,Unione europea,6.33
Futuro Nazionale / Vannacci,Stampa,3,Istituzioni e assetto dello Stato,16.43
Futuro Nazionale / Vannacci,Stampa,4,Economia e finanza pubblica,3.35
Futuro Nazionale / Vannacci,Stampa,5,Lavoro e imprese,8.2
